time,HR
1,0.114571461
2,0.11819069
3,0.120341493
4,0.120911003
5,0.121070719
6,0.120574703
7,0.120832522
8,0.121043736
9,0.121562784
10,0.121973121
11,0.122871461
12,0.122964491
13,0.123635805
14,0.123911791
15,0.123519486
16,0.12205953
17,0.12061187
18,0.118737428
19,0.116697916
20,0.114354834
21,0.112304885
22,0.110092597
23,0.10739111
24,0.104214232
25,0.101078027
26,0.097885487
27,0.093787712
28,0.089458544
29,0.085747529
30,0.082569932
31,0.07915055
32,0.077312622
33,0.077224964
34,0.078189228
35,0.078974041
36,0.081226693
37,0.083318894
38,0.085194806
39,0.086753269
40,0.089706214
41,0.092088844
42,0.093266859
43,0.092317019
44,0.089451077
45,0.084245441
46,0.076116585
47,0.068135989
48,0.061737842
49,0.057087783
50,0.053613581
51,0.054383054
52,0.056756173
53,0.059492674
54,0.061885486
55,0.064768117
56,0.066673168
57,0.068230751
58,0.069159504
59,0.069736335
60,0.069538537
61,0.067618485
62,0.065272261
63,0.062629093
64,0.060277872
65,0.057743543
66,0.056220995
67,0.054755863
68,0.054043065
69,0.053668775
70,0.053765751
71,0.053348298
72,0.05207634
73,0.049580596
74,0.046307002
75,0.043179098
76,0.040964039
77,0.039734332
78,0.039857704
79,0.040968094
80,0.041960624
81,0.04257995
82,0.043058138
83,0.043104377
84,0.042575155
85,0.042292094
86,0.042051445
87,0.041341363
88,0.04015157
89,0.039069255
90,0.037225226
91,0.034776088
92,0.032446655
93,0.030459521
94,0.027787537
95,0.026075681
96,0.025567005
97,0.025129296
98,0.024245689
99,0.023474391
100,0.022380516
101,0.019848936
102,0.017981173
103,0.017460491
104,0.020826378
105,0.024795273
106,0.030451504
107,0.036044187
108,0.041157058
109,0.041179598
110,0.04053722
111,0.038294522
112,0.036914275
113,0.036956619
114,0.039926279
115,0.04322319
116,0.048856586
117,0.052617698
118,0.054041587
119,0.053683463
120,0.052496075
121,0.049681571
122,0.047823531
123,0.046485523
124,0.045971205
125,0.046361157
126,0.047584599
127,0.049002334
128,0.051155701
129,0.053974414
130,0.056319842
131,0.057376093
132,0.0575655
133,0.056707075
134,0.05440051
135,0.052302117
136,0.05064339
137,0.049440891
138,0.048239165
139,0.048308979
140,0.047879873
141,0.047072417
142,0.045896176
143,0.045174827
144,0.042308086
145,0.039131951
146,0.036314792
147,0.034058471
148,0.032887269
149,0.036852241
150,0.043938287
151,0.053000945
152,0.061981408
153,0.06969125
154,0.071324768
155,0.06977457
156,0.065866066
157,0.062007118
158,0.058012911
159,0.056666905
160,0.055248598
